task_id,input_size,op_type,predicted_runtime_ms
83,99,IO,23.801761904761904
84,93,CPU,4.724916666666667
85,51,Mixed,11.1
86,130,Mixed,95.2798095238095
87,171,CPU,23.551
88,164,CPU,9.1
89,164,IO,32.4
90,105,CPU,2.3020833333333335
91,143,Mixed,27.32852380952381
92,192,CPU,22.49
93,98,Mixed,20.8985
94,93,CPU,4.724916666666667
95,148,CPU,12.42
96,55,Mixed,10.3
97,138,IO,220.61
98,81,IO,96.80840476190477
99,95,CPU,2.831666666666667
100,153,CPU,8.923333333333334
101,141,Mixed,34.77
102,193,IO,32.32
103,164,Mixed,24.80183333333333
104,184,CPU,32.930428571428564
105,144,IO,42.37966666666667
106,52,Mixed,16.22
107,101,Mixed,20.16
108,67,Mixed,113.45
109,76,Mixed,10.253333333333332
110,74,CPU,1.36
111,184,IO,205.5
112,167,CPU,10.379166666666668
113,91,CPU,2.8539166666666658
114,61,Mixed,16.986666666666665
115,65,CPU,0.89
116,115,CPU,3.12
117,143,IO,36.51445238095238
118,91,Mixed,25.46
119,197,CPU,20.86666666666667
120,124,IO,69.55
121,96,IO,26.735833333333332
122,162,CPU,11.718000000000002
123,126,IO,26.5975
124,165,Mixed,30.20183333333333
125,194,IO,33.34
126,142,Mixed,21.34190476190476
127,187,IO,38.435
128,138,CPU,9.231000000000002
129,122,CPU,3.89
130,141,CPU,12.23
131,143,Mixed,27.32852380952381
132,168,CPU,10.3
133,70,IO,23.11
134,70,CPU,0.6293333333333334
135,98,IO,23.6025
136,57,IO,16.99
137,198,Mixed,158.285873015873
138,196,Mixed,51.8525
139,195,CPU,19.09
140,50,IO,10.26
141,73,IO,12.234166666666665
142,159,IO,26.836333333333332
143,99,IO,23.801761904761904
144,50,CPU,1.2033333333333334
145,177,IO,21.45666666666667
146,187,CPU,21.881761904761902
147,175,Mixed,16.881999999999998
148,146,CPU,7.88
149,180,Mixed,16.652500000000003
150,182,Mixed,17.820000000000004
151,146,IO,24.8025
152,200,Mixed,74.48111111111112
153,109,CPU,3.97
154,78,CPU,2.23
155,182,Mixed,17.820000000000004
156,62,IO,19.871329004329006
157,89,CPU,1.8245000000000002
158,71,IO,16.82
159,130,Mixed,95.2798095238095
160,52,IO,15.15
161,174,CPU,9.389333333333331
162,103,CPU,2.3136190476190475
163,113,CPU,3.04
164,81,Mixed,67.14721428571428
165,139,IO,195.48066666666662
166,137,IO,65.97
167,74,Mixed,12.131333333333332
168,110,IO,122.87566666666666
169,158,CPU,9.546833333333334
170,149,IO,25.195
171,160,Mixed,12.488333333333335
172,155,CPU,13.157333333333334
173,163,IO,28.214166666666664
174,127,CPU,3.97
175,104,IO,29.458333333333336
176,108,CPU,3.27
177,100,Mixed,16.882833333333334
178,108,CPU,3.27
179,160,CPU,8.740000000000002
180,77,IO,16.71766666666667
181,148,Mixed,19.33
182,131,IO,58.53407142857142
183,199,Mixed,79.87111111111112
184,162,CPU,11.718000000000002
185,168,CPU,10.3
186,172,Mixed,24.51033333333333
187,145,Mixed,18.10666666666667
188,100,IO,13.678333333333333
189,103,CPU,2.3136190476190475
190,192,IO,32.99
191,140,CPU,18.03
192,153,CPU,8.923333333333334
193,78,Mixed,9.718333333333332
194,50,CPU,1.2033333333333334
195,163,CPU,9.337333333333332
196,57,IO,16.99
197,103,CPU,2.3136190476190475
198,93,CPU,4.724916666666667
199,69,IO,44.61
200,100,IO,13.678333333333333
201,191,IO,28.99
202,194,CPU,22.49
203,131,IO,58.53407142857142
204,138,CPU,9.231000000000002
205,176,IO,26.03
206,175,Mixed,16.881999999999998
207,93,IO,17.725833333333334
208,125,IO,28.78
209,81,CPU,17.583761904761904
210,83,CPU,8.666666666666664
211,117,Mixed,18.83
212,72,CPU,0.42266666666666675
213,167,IO,26.288
214,146,Mixed,17.07
215,143,IO,36.51445238095238
216,134,Mixed,28.291214285714297
217,173,CPU,9.246833333333333
218,92,Mixed,25.6
219,120,IO,24.21
220,142,CPU,6.95
221,148,CPU,12.42
222,143,CPU,6.16
223,70,Mixed,10.765
224,55,IO,11.88
225,77,Mixed,10.458333333333332
226,99,IO,23.801761904761904
227,158,CPU,9.546833333333334
228,75,CPU,1.146
229,71,CPU,0.7626666666666668
230,152,CPU,9.513333333333334
231,108,IO,154.83826190476188
232,162,Mixed,12.129833333333336
233,107,CPU,2.853333333333333
234,101,IO,15.819166666666666
235,77,CPU,1.2083333333333335
236,117,CPU,3.23
237,77,IO,16.71766666666667
238,170,CPU,14.633333333333331
239,58,CPU,12.919238095238093
240,109,Mixed,117.46283333333332
241,195,CPU,19.09
242,79,Mixed,15.988333333333333
243,166,IO,24.96
244,112,CPU,8.09
245,150,CPU,9.6
246,166,IO,24.96
247,80,IO,24.737095238095243
248,169,CPU,9.98
249,189,IO,32.405
250,191,Mixed,26.07166666666667
251,58,Mixed,14.92
252,176,Mixed,18.365
253,61,IO,15.153666666666663
254,116,CPU,3.66
255,174,CPU,9.389333333333331
256,65,CPU,0.89
257,200,IO,28.79
258,57,CPU,12.919238095238093
259,182,IO,28.595
260,98,CPU,1.6833333333333333
261,169,IO,83.085
262,162,Mixed,12.129833333333336
263,113,CPU,3.04
264,86,CPU,2.0073333333333334
265,158,Mixed,11.933333333333335
266,108,IO,154.83826190476188
267,105,CPU,2.3020833333333335
268,80,CPU,8.427999999999999
269,84,Mixed,14.056
270,151,Mixed,42.05
271,81,IO,96.80840476190477
272,69,Mixed,34.755
273,90,CPU,2.201833333333333
274,59,CPU,1.81
275,180,Mixed,16.652500000000003
276,150,IO,52.8
277,71,Mixed,9.2125
278,195,IO,33.2
279,117,Mixed,18.83
280,114,CPU,3.02
281,142,IO,36.46983333333333
282,139,Mixed,77.19166666666666
283,125,Mixed,78.92150000000001
284,155,CPU,13.157333333333334
285,114,Mixed,58.04
286,71,Mixed,9.2125
287,123,CPU,3.97
288,60,CPU,1.39
289,71,Mixed,9.2125
290,117,IO,26.22
291,65,IO,105.11766666666666
292,66,CPU,0.33
293,87,CPU,1.4193333333333333
294,62,IO,19.871329004329006
295,199,IO,38.62
296,189,Mixed,21.181833333333334
297,177,Mixed,18.135
298,51,IO,12.21
299,198,IO,56.9325
